Team,Corner,Rank,Side
KU,1,1,West
UCLA,1,2,West
GONZ,1,3,West
CONN,1,4,West
SMC,1,5,West
TCU,1,6,West
NU,1,7,West
ARK,1,8,West
ILL,1,9,West
BOIS,1,10,West
ASU,1,11,West
VCU,1,12,West
IONA,1,13,West
GCU,1,14,West
UNCA,1,15,West
HOW,1,16,West
ALA,2,1,South
ARIZ,2,2,South
BAY,2,3,South
UVA,2,4,South
SDSU,2,5,South
CREI,2,6,South
MIZ,2,7,South
MD,2,8,South
WVU,2,9,South
USU,2,10,South
NCST,2,11,South
COFC,2,12,South
FUR,2,13,South
UCSB,2,14,South
PRIN,2,15,South
AMCC,2,16,South
PUR,3,1,East
MARQ,3,2,East
KSU,3,3,East
TENN,3,4,East
DUKE,3,5,East
UK,3,6,East
MSU,3,7,East
MEM,3,8,East
FAU,3,9,East
USC,3,10,East
PROV,3,11,East
ORU,3,12,East
UL,3,13,East
MTST,3,14,East
UVM,3,15,East
FDU,3,16,East
HOU,4,1,Midwest
TEX,4,2,Midwest
XAV,4,3,Midwest
IU,4,4,Midwest
MIA,4,5,Midwest
ISU,4,6,Midwest
TA&M,4,7,Midwest
IOWA,4,8,Midwest
AUB,4,9,Midwest
PSU,4,10,Midwest
PITT,4,11,Midwest
DRKE,4,12,Midwest
KENT,4,13,Midwest
KENN,4,14,Midwest
COLG,4,15,Midwest
NKU,4,16,Midwest
